"rat","soln","group","cohort","gkg.1","gkg.2","gkg.3","gkg.4","gkg.5","gkg.6","gkg.7","gkg.8","gkg.9","gkg.10","gkg.11","gkg.12"
"a",10,"RET","summer15",0.027149474,0.021874739,0.078268595,0.021559671,0.034755647,0.199861789,0.41206544,0.479995935,0.449406061,0.444023952,0.516543651,0.545795276
"b",15,"RET","summer15",0.032157895,0.18475162,0.342055556,0.474789809,0.4186,0.321715499,0.640585263,0.567720833,0.656825,0.70226971,0.627310062,0.576985567
"c",15,"NORET","summer15",0.051420792,0.050668293,0.0851875,0.128019048,0.151295238,0.357377358,0.546305882,0.697462264,0.809896956,0.710465116,0.79287907,0.702364486
"d",10,"NORET","summer15",0.01546283,0.009527187,0.057837963,0.094496552,0.171648148,0.13525977,0.20013544,0.227145455,0.203774266,0.407548533,0.385793258,0.216243902
"e",15,"NORET","summer15",0.154262376,0.29052451,0.287184652,0.68791924,0.745333333,0.575227166,0.647944186,0.588265116,0.642115741,0.665528604,0.762348624,0.662732265
"f",15,"NORET","summer15",0.042627907,0.145743119,0.179376147,0.080540909,0.110588235,0.098416107,0.260693333,0.39929386,0.309537445,0.514947598,0.541058315,0.585926566
"g",15,"RET","summer15",0.017251765,0.005683721,0.022268793,0.033633028,0.02206772,0.01098427,0.043161148,0.132181015,0.439491228,0.511846491,0.518021739,0.707052402
"h",10,"RET","summer15",0.02582151,0.039786047,0.019893023,0.328106195,0.276951542,0.351741228,0.443909287,0.392577586,0.431477516,0.428133333,0.403852008,0.247738947
"i",10,"RET","summer15",0.125462264,0.041526932,0.511212963,0.322031963,0.371573394,0.41122449,0.444195556,0.410132743,0.354498906,0.457267108,0.404752174,0.351866667
"j",15,"NORET","summer15",0.049344418,0.039786047,0.019893023,0.031333333,0.113674419,0.057236534,0.270606061,0.390361111,0.410142529,0.333016166,0.444875576,0.428821101
"l",15,"RET","summer15",0.025576744,0.140229508,0.234669789,0.225773672,0.234782407,0.400793578,0.227736364,0.302004577,0.596589623,0.541882353,0.584675737,0.456873874
"m",15,"RET","summer15",0.098548387,0.141435185,0.464704225,0.457539535,0.692181818,0.650971963,0.652111369,0.764487923,0.760355556,0.553145497,0.539953488,0.658646789
"n",15,"NORET","summer15",0.118531178,0.142093023,0.186694444,0.186926941,0.208769932,0.307597254,0.378107623,0.35344843,0.29328,0.196488987,0.349524017,0.360984683
"p",10,"NORET","summer15",0.019468599,0.031074699,0.02537046,0.0155,0.093809976,0.296947368,0.113788235,0.370162963,0.560342569,0.1801875,0.307323741,0.403
"q",15,"RET","winter15",0.045166324,0.106041322,0.017386179,0.113789474,0.044889796,0.217244444,0.205707415,0.276172,0.459472,0.308512821,0.45250297,0.374904854
"s",15,"NORET","winter15",0.036950324,0.106030369,0.496190065,0.525591398,0.574907173,0.629122881,0.634105042,0.802661053,0.621312236,0.700476987,0.682283333,0.614795031
"t",10,"NORET","winter15",0.01351782,0.015336152,0.015271579,0.026810811,0.0151125,0.071020492,0.142729167,0.155254098,0.274697959,0.225875,0.322076305,0.340813627
"u",15,"RET","winter15",0.042041284,0.019619266,0.028287037,0.033403189,0.071882353,0.155527273,0.282210762,0.328053691,0.533434298,0.510524444,0.441427313,0.432235808
"v",15,"RET","winter15",0.034914286,0.012393509,0.031963783,0.079318458,0.037030303,0.103475806,0.113102616,0.092686627,0.353349398,0.409757937,0.490249012,0.514779528
"w",15,"NORET","winter15",0.02995098,0.017796117,0.11892944,0.224871671,0.523714286,0.661795724,0.664192941,0.654028169,0.665247664,0.639156682,0.724148148,0.70265
"z",15,"RET","winter15",0.08619917,0.245921162,0.682808247,0.70627027,0.30053252,0.4888,0.592633267,0.710579477,0.747052632,0.435032,0.726858283,0.492664032
"aa",15,"NORET","winter15",0.040463576,0.069371179,0.195308855,0.31750655,0.605777778,0.6708,0.691944444,0.895275789,0.725966173,0.757691023,0.758658333,0.681156576
"ab",15,"NORET","winter15",0.026,0.026185714,0.114205607,0.306934272,0.352771363,0.81840367,0.315891156,0.384136674,0.133612756,0.338058957,0.460663657,0.35070852
"ac",15,"NORET","winter15",0.126686825,0.201918455,0.292444444,0.310634454,0.087285714,0.178953975,0.443672199,0.551953782,0.539716667,0.401442149,0.377160494,0.288836364
"ad",15,"RET","winter15",0.042827103,0.123347418,0.292711628,0.329655814,0.531796296,0.538461187,0.556471396,0.566963964,0.551424036,0.537022422,0.621959641,0.308886918
"ae",15,"NORET","winter15",0.03055,0.096741667,0.196029167,0.419983437,0.391342975,0.549523614,0.417208081,0.508133874,0.312891129,0.532792,0.524755467,0.269417323
"af",15,"RET","winter15",0.011009009,0.021968539,0.057153675,0.237838926,0.598530612,0.620611236,0.738120805,0.811932886,0.821074157,0.79322807,0.928612335,0.721485839
